"filename", "language", "JavaScript", "HTML", "SVG", "comment", "blank", "total"
"d:\Games\Soldier thing\index.html", "HTML", 0, 0, 0, 0, 1, 1
"d:\Games\Soldier thing\resources\images\character\SoldierReload1.svg", "SVG", 0, 0, 1, 0, 0, 1
"d:\Games\Soldier thing\resources\images\character\SoldierReload10.svg", "SVG", 0, 0, 1, 0, 0, 1
"d:\Games\Soldier thing\resources\images\character\SoldierReload11.svg", "SVG", 0, 0, 1, 0, 0, 1
"d:\Games\Soldier thing\resources\images\character\SoldierReload12.svg", "SVG", 0, 0, 1, 0, 0, 1
"d:\Games\Soldier thing\resources\images\character\SoldierReload13.svg", "SVG", 0, 0, 1, 0, 0, 1
"d:\Games\Soldier thing\resources\images\character\SoldierReload14.svg", "SVG", 0, 0, 1, 0, 0, 1
"d:\Games\Soldier thing\resources\images\character\SoldierReload2.svg", "SVG", 0, 0, 1, 0, 0, 1
"d:\Games\Soldier thing\resources\images\character\SoldierReload3.svg", "SVG", 0, 0, 1, 0, 0, 1
"d:\Games\Soldier thing\resources\images\character\SoldierReload4.svg", "SVG", 0, 0, 1, 0, 0, 1
"d:\Games\Soldier thing\resources\images\character\SoldierReload5.svg", "SVG", 0, 0, 1, 0, 0, 1
"d:\Games\Soldier thing\resources\images\character\SoldierReload6.svg", "SVG", 0, 0, 1, 0, 0, 1
"d:\Games\Soldier thing\resources\images\character\SoldierReload7.svg", "SVG", 0, 0, 1, 0, 0, 1
"d:\Games\Soldier thing\resources\images\character\SoldierReload8.svg", "SVG", 0, 0, 1, 0, 0, 1
"d:\Games\Soldier thing\resources\images\character\SoldierReload9.svg", "SVG", 0, 0, 1, 0, 0, 1
"d:\Games\Soldier thing\resources\js\functions.js", "JavaScript", 290, 0, 0, 1, 13, 304
"d:\Games\Soldier thing\resources\js\main.js", "JavaScript", 1, 0, 0, 0, 0, 1
"d:\Games\Soldier thing\resources\js\mainloop.js", "JavaScript", -22, 0, 0, 0, -3, -25
"d:\Games\Soldier thing\resources\js\vars.js", "JavaScript", 23, 0, 0, 0, 0, 23
"Total", "-", 292, 0, 14, 1, 11, 318